Направление подготовки	Профиль / Специализация	Кафедра	Факультет
Экология и природопользование  Код 05.03.06  Бакалавриат	Экологическая безопасность природопользования	РЭТЭМ	РКФ
Информатика и вычислительная техника  Код 09.03.01  Бакалавриат	Разработка программного обеспечения	КСУП	ФВС
Информатика и вычислительная техника  Код 09.03.01  Бакалавриат	Системы автоматизированного проектирования	КСУП	ФВС
Информатика и вычислительная техника  Код 09.03.01  Бакалавриат	Автоматизированное управление бизнес-процессами и финансами	ЭМИС	ФВС
Информатика и вычислительная техника  Код 09.03.01  Бакалавриат	Информационное и программное обеспечение программно-аппаратных комплексов  робототехнических систем	УИ	ФИТ
Информатика и вычислительная техника  Код 09.03.01  Бакалавриат	Программное обеспечение средств вычислительной техники и автоматизированных  систем	АСУ	ФСУ
Информационные системы и технологии  Код 09.03.02  Бакалавриат	Аналитические информационные системы	ЭМИС	ФВС
Прикладная информатика  Код 09.03.03  Бакалавриат	Прикладная информатика в экономике	АСУ	ФСУ
Программная инженерия  Код 09.03.04  Бакалавриат	Индустриальная разработка программных продуктов	АОИ	ФСУ
Информационная безопасность  Код 10.03.01  Бакалавриат	Безопасность автоматизированных систем (Создание и поддержка  автоматизированных систем)	КИБЭВС	ФБ
Информационная безопасность телекоммуникационных систем  Код 10.05.02  Специалитет	Управление безопасностью телекоммуникационных систем и сетей	БИС	ФБ
Информационная безопасность автоматизированных систем  Код 10.05.03  Специалитет	Безопасность автоматизированных систем в кредитно-финансовой сфере	КИБЭВС	ФБ
Информационно-аналитические системы безопасности  Код 10.05.04  Специалитет	Информационная безопасность финансовых и экономических структур	БИС	ФБ
Радиотехника  Код 11.03.01  Бакалавриат	Электромагнитная совместимость	ТУ	РТФ
Радиотехника  Код 11.03.01  Бакалавриат	Микроволновая техника и антенны	СВЧиКР	РТФ
Радиотехника  Код 11.03.01  Бакалавриат	Радиотехнические средства передачи, приема и обработки сигналов	ТОР	РТФ
Радиотехника  Код 11.03.01  Бакалавриат	Радиотехнические средства передачи, приема и обработки сигналов	РСС	РТФ
Инфокоммуникационные технологии и системы связи  Код 11.03.02  Бакалавриат	Видеоинформационные технологии	ТУ	РТФ
Инфокоммуникационные технологии и системы связи  Код 11.03.02  Бакалавриат	Системы беспроводной связи и "Интернета вещей"	ТОР	РТФ
Инфокоммуникационные технологии и системы связи  Код 11.03.02  Бакалавриат	Оптические системы и сети связи	СВЧиКР	РТФ
Инфокоммуникационные технологии и системы связи  Код 11.03.02  Бакалавриат	Защищенные системы и сети связи	РСС	РТФ
Инфокоммуникационные технологии и системы связи  Код 11.03.02  Бакалавриат	Системы мобильной связи	РТС	РТФ
Конструирование и технология электронных средств  Код 11.03.03  Бакалавриат	Электронные технологии наземного и космического назначения	РЭТЭМ	РКФ
Конструирование и технология электронных средств  Код 11.03.03  Бакалавриат	Проектирование и технология электронно-вычислительных средств	КУДР	РКФ
Конструирование и технология электронных средств  Код 11.03.03  Бакалавриат	Проектирование и технология радиоэлектронных средств	КИПР	РКФ
Электроника и наноэлектроника  Код 11.03.04  Бакалавриат	Промышленная электроника	ПрЭ	ФЭТ
Электроника и наноэлектроника  Код 11.03.04  Бакалавриат	Микроэлектроника и твердотельная электроника	ФЭ	ФЭТ
Электроника и наноэлектроника  Код 11.03.04  Бакалавриат	Квантовая и оптическая электроника	ЭП	ФЭТ
Электроника и наноэлектроника  Код 11.03.04  Бакалавриат	Программирование микропроцессорной техники	ПрЭ	ФЭТ
Радиоэлектронные системы и комплексы  Код 11.05.01  Специалитет	Радиоэлектронные системы и комплексы	РТС	РТФ
Фотоника и оптоинформатика  Код 12.03.03  Бакалавриат	Фотоника нелинейных, волноводных и периодических структур	ЭП	ФЭТ
Фотоника и оптоинформатика  Код 12.03.03  Бакалавриат	Электронное приборостроение	КУДР	РКФ
Автоматизация технологических процессов и производств  Код 15.03.04  Бакалавриат	Системы автоматизации технологических процессов и производств	КСУП	ФВС
Техносферная безопасность  Код 20.03.01  Бакалавриат	Управление техносферной безопасностью	РЭТЭМ	РКФ
Техносферная безопасность  Код 20.03.01  Бакалавриат	Защита окружающей среды	РЭТЭМ	РКФ
Техническая эксплуатация транспортного радиооборудования  Код 25.05.03  Специалитет	Информационно-телекоммуникационные системы на транспорте и их  информационная защита	КИПР	РКФ
